"Pathway","Genes","Category"
"Insulin effects increased synthesis of Xylulose-5-Phosphate","TALDO1,TKT","Reactome"
"Insulin processing","CLTRN,CPE,ERO1B,EXOC1,EXOC2,EXOC3,EXOC4,EXOC5,EXOC6,EXOC7,EXOC8,INS,KIF5A,KIF5B,KIF5C,MYO5A,MYRIP,P4HB,PCSK1,PCSK2,RAB27A,SLC30A5,SLC30A8,STX1A,VAMP2","Reactome"
"Integration of energy metabolism","ABCC8,ACACA,ACACB,ACLY,ACSL3,ACSL4,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADIPOQ,ADIPOR1,ADIPOR2,ADRA2A,ADRA2C,AGPAT1,AHCYL1,AKAP5,CACNA1A,CACNA1C,CACNA1D,CACNA1E,CACNA2D2,CACNB2,CACNB3,CD36,CHRM3,FASN,FFAR1,GCG,GCGR,GLP1R,GNA11,GNA14,GNA15,GNAI1,GNAI2,GNAQ,GNAS,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,INS,IQGAP1,ITPR1,ITPR2,ITPR3,KCNB1,KCNC2,KCNG2,KCNJ11,KCNS3,MARCKS,MLX,MLXIPL,PFKFB1,PKLR,PLCB1,PLCB2,PLCB3,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKACG,PRKAG2,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,RAP1A,RAPGEF3,RAPGEF4,SLC2A1,SLC2A2,SNAP25,STK11,STX1A,STXBP1,SYT5,TALDO1,TKT,VAMP2","Reactome"
"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate","ADHFE1,D2HGDH,L2HGDH","Reactome"
"Interconversion of nucleotide di- and triphosphates","AK1,AK2,AK4,AK5,AK6,AK7,AK8,AK9,CMPK1,CTPS1,CTPS2,DCTD,DCTPP1,DTYMK,DUT,GLRX,GSR,GUK1,NME1,NME2,NME2P1,NME3,NME4,NUDT13,RRM1,RRM2,RRM2B,TXN,TXNRD1,TYMS","Reactome"
"Interconversion of polyamines","PAOX,SAT1,SMOX","Reactome"
"Intracellular metabolism of fatty acids regulates insulin secretion","ACSL3,ACSL4,CD36","Reactome"
"Josephin domain DUBs","ATXN3,ATXN3L,JOSD1,JOSD2,PARK2,RAD23A,RAD23B,RPS27A,UBA52,UBB,UBC,VCP","Reactome"
"Keratan sulfate biosynthesis","ACAN,B3GNT2,B3GNT3,B3GNT4,B3GNT7,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT5,B4GALT6,B4GAT1,CHST1,CHST2,CHST5,CHST6,FMOD,KERA,LUM,OGN,OMD,PRELP,SLC35D2,ST3GAL1,ST3GAL2,ST3GAL3,ST3GAL4,ST3GAL6","Reactome"
"Keratan sulfate degradation","ACAN,FMOD,GALNS,GLB1,GLB1L,GLB1L2,GLB1L3,GNS,HEXA,HEXB,KERA,LUM,OGN,OMD,PRELP","Reactome"
"Keratan sulfate/keratin metabolism","ACAN,B3GNT2,B3GNT3,B3GNT4,B3GNT7,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT5,B4GALT6,B4GAT1,CHST1,CHST2,CHST5,CHST6,FMOD,GALNS,GLB1,GLB1L,GLB1L2,GLB1L3,GNS,HEXA,HEXB,KERA,LUM,OGN,OMD,PRELP,SLC35D2,ST3GAL1,ST3GAL2,ST3GAL3,ST3GAL4,ST3GAL6","Reactome"
"Ketone body metabolism","AACS,ACAT1,ACSS3,BDH1,BDH2,HMGCL,HMGCLL1,HMGCS2,OXCT1,OXCT2","Reactome"
"L13a-mediated translational silencing of Ceruloplasmin expression","18S rRNA,28S rRNA,5.8S rRNA,5S rRNA,EIF1AX,EIF2S1,EIF2S2,EIF2S3,EIF3A,EIF3B,EIF3C,EIF3D,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3L,EIF3M,EIF4A1,EIF4A2,EIF4B,EIF4E,EIF4G1,EIF4H,FAU,PABPC1,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,UBA52","Reactome"
"Lactose synthesis","B4GALT1,LALBA,SLC2A1","Reactome"
"Lewis blood group biosynthesis","B3GALT1,B3GALT2,B3GALT4,B3GALT5,B4GALNT2,FUT10,FUT11,FUT2,FUT3,FUT4,FUT5,FUT6,FUT7,FUT9,ST3GAL3,ST3GAL4,ST3GAL6,ST6GALNAC6","Reactome"
"Linoleic acid LA metabolism","ABCD1,ACSL1,ELOVL1,ELOVL2,ELOVL3,ELOVL5,FADS1,FADS2","Reactome"
"Lipid particle organization","CIDEA,CIDEC,FITM1,FITM2,HILPDA,HSD17B13","Reactome"
"Lysine catabolism","AADAT,AASS,ALDH7A1,CRYM,DLD,DLST,GCDH,HYKK,OGDH,PHYKPL,PIPOX,SLC25A21","Reactome"
"Lysosomal oligosaccharide catabolism","MAN2B1,MAN2B2,MAN2C1,MANBA","Reactome"
"Melanin biosynthesis","DCT,OCA2,SLC45A2,TYR,TYRP1","Reactome"
